0000025143|1485
39-2051009|1481
0000980661|1479
77-0251790|1470
0000011307|1466
1517600004|1466
0000707938|1464
46-1342618|1464
65-0763054|1463
0000018181|1460
0000000196|1459
0000020258|1457
0000031286|1449
0000022311|1449
0004438357|1445
0000006158|1437
0000060060|1434
06-1297784|1434
0000062049|1431
0000061315|1431
46-2477192|1428
37-1572886|1427
0000066330|1423
0000022458|1422
36-4078960|1420
95-4623407|1419
0000595270|1419
0000012383|1419
0000064049|1417
0000013876|1409
0000005500|1408
38-3616059|1406
0000023850|1404
0000014384|1401
30-0142226|1396
26-4461592|1395
27-3863726|1395
0000032647|1394
38-3434023|1394
56-2007637|1389
0000015815|1388
0000004142|1386
0000000953|1384
0000934329|1382
0000024947|1380
1006400007|1380
0000023038|1376
52-2321476|1375
01-0681100|1371
27-2056826|1371
0000024326|1371
93-1231049|1371
13-3753941|1371
52-2075704|1369
0000067352|1367
0000001281|1361
0000876634|1360
0000032178|1355
0000068287|1353
0000067278|1343
0003635533|1342
58-2642920|1341
33-0175937|1341
0000034598|1339
0000000047|1337
0000016626|1335
27-0202259|1331
0000685676|1330
0000165628|1330
0000933975|1324
0000708039|1324
0001842065|1320
75-2888366|1318
20-2471369|1316
20-3492069|1315
33-0440315|1313
0000002658|1311
0000068607|1310
1099800006|1303
41-1718186|1299
0000001644|1296
77-0455415|1296
0000068366|1294
20-2470783|1294
20-5239910|1293
0000017393|1288
0000029546|1287
33-0534042|1283
0000068615|1281
0000991340|1278
0000000028|1277
0000015802|1275
0000702889|1271
0870691650|1270
0000005588|1268
0000945053|1267
0000068203|1260
86-0619371|1255
3453209991|1242
76-0678163|1241
0000068465|1239
43-1826060|1239
0000067955|1238
26-2593704|1238
0000212577|1233
0000001390|1229
0000026962|1228
0000062882|1227
52-2276553|1222
0000466857|1221
13-3654244|1221
0000015732|1220
27-0746986|1218
0000059049|1218
0000068613|1218
0000007840|1217
0000017308|1216
0000068248|1215
1910500003|1212
20-8693961|1210
0000011443|1204
0000066742|1202
0000015435|1202
0000324649|1192
